Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
29/12/2010;40;Liverpool;39;Wolves;0;1;A;1.33;5;10;1.66;2.17;39;
29/12/2010;61;Wigan;42;Arsenal;2;2;D;6.5;4.2;1.5;1.83;1.94;39;
01/01/2011;54;Birmingham;42;Arsenal;0;3;A;5.5;3.6;1.67;1.91;1.86;39;
01/01/2011;40;Liverpool;68;Bolton;2;1;H;1.7;3.75;5;1.97;1.8;39;
01/01/2011;50;Man City;1356;Blackpool;1;0;H;1.29;5.5;10;2.18;1.66;39;
01/01/2011;75;Stoke;45;Everton;2;0;H;2.63;3.2;2.75;2.24;1.62;39;
01/01/2011;746;Sunderland;67;Blackburn;3;0;H;1.83;3.5;4.5;2.12;1.7;39;
01/01/2011;47;Tottenham;36;Fulham;1;0;H;1.4;4.5;8.5;1.81;1.99;39;
01/01/2011;60;West Brom;33;Man United;1;2;A;6;4.2;1.53;1.75;2.06;39;
01/01/2011;48;West Ham;39;Wolves;2;0;H;2;3.4;3.8;2.04;1.75;39;
02/01/2011;49;Chelsea;66;Aston Villa;3;3;D;1.25;5.5;13;1.61;2.26;39;
02/01/2011;61;Wigan;34;Newcastle;0;1;A;2.5;3.2;2.9;2.07;1.73;39;
04/01/2011;1356;Blackpool;54;Birmingham;1;2;A;2.3;3.25;3.25;1.95;1.83;39;
04/01/2011;36;Fulham;60;West Brom;3;0;H;2.2;3.25;3.4;2.14;1.67;39;
04/01/2011;33;Man United;75;Stoke;2;1;H;1.25;5.75;12;1.59;2.26;39;
05/01/2011;42;Arsenal;50;Man City;0;0;D;1.91;3.6;4;1.79;1.99;39;
05/01/2011;66;Aston Villa;746;Sunderland;0;1;A;2.2;3.25;3.4;2;1.79;39;
05/01/2011;67;Blackburn;40;Liverpool;3;1;H;3.4;3.25;2.2;2.04;1.75;39;
05/01/2011;68;Bolton;61;Wigan;1;1;D;1.73;3.6;5;1.88;1.91;39;
05/01/2011;45;Everton;47;Tottenham;2;1;H;2.63;3.25;2.75;1.99;1.79;39;
05/01/2011;34;Newcastle;48;West Ham;5;0;H;1.83;3.6;4.33;1.93;1.85;39;
05/01/2011;39;Wolves;49;Chelsea;1;0;H;8;4.2;1.44;1.71;2.09;39;
12/01/2011;1356;Blackpool;40;Liverpool;2;1;H;3.8;3.75;1.91;1.73;2.07;39;
15/01/2011;49;Chelsea;67;Blackburn;2;0;H;1.29;5.5;11;1.59;2.27;39;
15/01/2011;50;Man City;39;Wolves;4;3;H;1.33;5;10;1.68;2.12;39;
15/01/2011;75;Stoke;68;Bolton;2;0;H;2.1;3.25;3.75;2.16;1.67;39;
15/01/2011;60;West Brom;1356;Blackpool;3;2;H;1.8;3.6;4.5;1.61;2.24;39;
15/01/2011;48;West Ham;42;Arsenal;0;3;A;6;4;1.57;1.76;2.03;39;
15/01/2011;61;Wigan;36;Fulham;1;1;D;2.5;3.25;2.88;2.25;1.62;39;
16/01/2011;54;Birmingham;66;Aston Villa;1;1;D;2.4;3.2;3.1;2.11;1.7;39;
16/01/2011;40;Liverpool;45;Everton;2;2;D;2.2;3.2;3.5;2.12;1.7;39;
16/01/2011;746;Sunderland;34;Newcastle;1;1;D;2.2;3.25;3.4;2.06;1.74;39;
16/01/2011;47;Tottenham;33;Man United;0;0;D;2.88;3.3;2.5;1.92;1.87;39;
22/01/2011;42;Arsenal;61;Wigan;3;0;H;1.2;6.5;15;1.51;2.42;39;
22/01/2011;66;Aston Villa;50;Man City;1;0;H;3.5;3.4;2.1;1.93;1.84;39;
22/01/2011;1356;Blackpool;746;Sunderland;1;2;A;2.5;3.25;2.88;1.82;1.94;39;
22/01/2011;45;Everton;48;West Ham;2;2;D;1.5;4;7.5;1.87;1.89;39;
22/01/2011;36;Fulham;75;Stoke;2;0;H;2.2;3.2;3.5;2.26;1.59;39;
22/01/2011;33;Man United;54;Birmingham;5;0;H;1.2;6.5;15;1.63;2.18;39;
22/01/2011;34;Newcastle;47;Tottenham;1;1;D;3.5;3.4;2.1;1.82;1.95;39;
22/01/2011;39;Wolves;40;Liverpool;0;3;A;3.4;3.2;2.25;2.08;1.71;39;
23/01/2011;67;Blackburn;60;West Brom;2;0;H;2.25;3.3;3.25;1.83;1.94;39;
24/01/2011;68;Bolton;49;Chelsea;0;4;A;6;3.75;1.62;1.86;1.9;39;
25/01/2011;1356;Blackpool;33;Man United;2;3;A;8;5;1.36;1.53;2.41;39;
25/01/2011;61;Wigan;66;Aston Villa;1;2;A;3.2;3.25;2.3;2.04;1.74;39;
26/01/2011;40;Liverpool;36;Fulham;1;0;H;1.53;3.8;7;2.01;1.76;39;
01/02/2011;42;Arsenal;45;Everton;2;1;H;1.4;4.5;8.5;1.77;2.01;39;
01/02/2011;33;Man United;66;Aston Villa;3;1;H;1.33;5;9.5;1.61;2.22;39;
01/02/2011;746;Sunderland;49;Chelsea;2;4;A;5.5;3.6;1.67;1.99;1.79;39;
01/02/2011;60;West Brom;61;Wigan;2;2;D;1.73;3.6;5;1.8;1.97;39;
02/02/2011;54;Birmingham;50;Man City;2;2;D;4.5;3.5;1.83;2;1.77;39;
02/02/2011;67;Blackburn;47;Tottenham;0;1;A;3.25;3.4;2.2;1.94;1.83;39;
02/02/2011;1356;Blackpool;48;West Ham;1;3;A;2.38;3.3;3;1.72;2.07;39;
02/02/2011;68;Bolton;39;Wolves;1;0;H;1.83;3.5;4.5;1.93;1.84;39;
02/02/2011;36;Fulham;34;Newcastle;1;0;H;2.1;3.3;3.6;2.14;1.67;39;
02/02/2011;40;Liverpool;75;Stoke;2;0;H;1.62;3.75;6;2.06;1.72;39;
05/02/2011;66;Aston Villa;36;Fulham;2;2;D;1.91;3.4;4.2;2.12;1.68;39;
05/02/2011;45;Everton;1356;Blackpool;5;3;H;1.44;4.5;7;1.6;2.25;39;
05/02/2011;50;Man City;60;West Brom;3;0;H;1.4;4.5;8.5;1.62;2.2;39;
05/02/2011;34;Newcastle;42;Arsenal;4;4;D;5;4;1.67;1.79;1.98;39;
05/02/2011;75;Stoke;746;Sunderland;3;2;H;2.1;3.2;3.75;2.26;1.6;39;
05/02/2011;47;Tottenham;68;Bolton;2;1;H;1.57;4;6;1.81;1.96;39;
05/02/2011;61;Wigan;67;Blackburn;4;3;H;2.5;3.25;2.9;2.15;1.66;39;
05/02/2011;39;Wolves;33;Man United;2;1;H;8.5;4.5;1.4;1.75;2.03;39;
06/02/2011;49;Chelsea;40;Liverpool;0;1;A;1.62;4;5.5;1.96;1.81;39;
06/02/2011;48;West Ham;54;Birmingham;0;1;A;2;3.5;3.75;2.01;1.76;39;
12/02/2011;42;Arsenal;39;Wolves;2;0;H;1.22;6;15;1.53;2.39;39;
12/02/2011;54;Birmingham;75;Stoke;1;0;H;2.5;3.2;2.9;2.24;1.62;39;
12/02/2011;67;Blackburn;34;Newcastle;0;0;D;2.1;3.4;3.5;1.88;1.89;39;
12/02/2011;1356;Blackpool;66;Aston Villa;1;1;D;3.25;3.4;2.2;1.54;2.34;39;
12/02/2011;40;Liverpool;61;Wigan;1;1;D;1.36;4.75;9;1.82;1.96;39;
12/02/2011;33;Man United;50;Man City;2;1;H;1.73;3.6;5;2;1.78;39;
12/02/2011;746;Sunderland;47;Tottenham;1;2;A;2.75;3.25;2.6;1.98;1.8;39;
12/02/2011;60;West Brom;48;West Ham;3;3;D;1.91;3.6;4;1.71;2.08;39;
13/02/2011;68;Bolton;45;Everton;2;0;H;2.75;3.25;2.6;1.98;1.79;39;
14/02/2011;36;Fulham;49;Chelsea;0;0;D;5;3.6;1.73;1.98;1.8;39;
15/02/2011;54;Birmingham;34;Newcastle;0;2;A;2.6;3.2;2.8;2.22;1.63;39;
20/02/2011;60;West Brom;39;Wolves;1;1;D;1.85;3.4;4.5;1.81;1.97;39;
22/02/2011;1356;Blackpool;47;Tottenham;3;1;H;4;3.6;1.91;1.55;2.36;39;
23/02/2011;42;Arsenal;75;Stoke;1;0;H;1.3;5.25;10;1.61;2.25;39;
26/02/2011;66;Aston Villa;67;Blackburn;4;1;H;1.73;3.6;5;1.84;1.94;39;
26/02/2011;45;Everton;746;Sunderland;2;0;H;1.73;3.6;5;1.99;1.79;39;
26/02/2011;34;Newcastle;68;Bolton;1;1;D;2.1;3.25;3.75;1.99;1.78;39;
26/02/2011;61;Wigan;33;Man United;0;4;A;6.5;4;1.53;1.88;1.89;39;
26/02/2011;39;Wolves;1356;Blackpool;4;0;H;1.83;3.6;4.33;1.67;2.13;39;
27/02/2011;50;Man City;36;Fulham;1;1;D;1.5;4;7.5;1.92;1.85;39;
27/02/2011;48;West Ham;40;Liverpool;3;1;H;3.4;3.3;2.2;2.12;1.68;39;
28/02/2011;75;Stoke;60;West Brom;1;1;D;1.91;3.4;4.2;1.99;1.8;39;
01/03/2011;49;Chelsea;33;Man United;2;1;H;2.2;3.2;3.6;2.17;1.66;39;
05/03/2011;42;Arsenal;746;Sunderland;0;0;D;1.44;4.33;7.5;1.78;2;39;
05/03/2011;54;Birmingham;60;West Brom;1;3;A;2.38;3.2;3.1;2.14;1.67;39;
05/03/2011;68;Bolton;66;Aston Villa;3;2;H;2.25;3.4;3.2;1.95;1.82;39;
05/03/2011;36;Fulham;67;Blackburn;3;2;H;1.73;3.6;5;2.06;1.73;39;
05/03/2011;50;Man City;61;Wigan;1;0;H;1.36;4.75;9;1.79;1.99;39;
05/03/2011;34;Newcastle;45;Everton;1;2;A;2.6;3.2;2.8;2.04;1.74;39;
05/03/2011;48;West Ham;75;Stoke;3;0;H;2.25;3.3;3.25;2.12;1.68;39;
06/03/2011;40;Liverpool;33;Man United;3;1;H;2.8;3.2;2.6;2.15;1.67;39;
06/03/2011;39;Wolves;47;Tottenham;3;3;D;3;3.3;2.38;2;1.78;39;
07/03/2011;1356;Blackpool;49;Chelsea;1;3;A;10;5.5;1.3;1.48;2.52;39;
09/03/2011;45;Everton;54;Birmingham;1;1;D;1.53;4;6.5;2.05;1.74;39;
19/03/2011;66;Aston Villa;39;Wolves;0;1;A;1.83;3.5;4.5;1.79;2;39;
19/03/2011;67;Blackburn;1356;Blackpool;2;2;D;1.8;3.6;4.5;1.57;2.32;39;
19/03/2011;45;Everton;36;Fulham;2;1;H;2;3.25;4;2.22;1.64;39;
19/03/2011;33;Man United;68;Bolton;1;0;H;1.36;4.75;9;1.64;2.21;39;
19/03/2011;75;Stoke;34;Newcastle;4;0;H;2.2;3.25;3.4;2.21;1.64;39;
19/03/2011;47;Tottenham;48;West Ham;0;0;D;1.57;4;6;1.72;2.1;39;
19/03/2011;60;West Brom;42;Arsenal;2;2;D;5;3.6;1.73;1.72;2.08;39;
19/03/2011;61;Wigan;54;Birmingham;2;1;H;2.1;3.3;3.6;2.13;1.69;39;
20/03/2011;49;Chelsea;50;Man City;2;0;H;1.62;3.75;6;2.02;1.78;39;
20/03/2011;746;Sunderland;40;Liverpool;0;2;A;2.63;3.2;2.75;2.27;1.61;39;
02/04/2011;42;Arsenal;67;Blackburn;0;0;D;1.25;6;11;1.5;2.48;39;
02/04/2011;54;Birmingham;68;Bolton;2;1;H;2.5;3.25;2.88;2.15;1.68;39;
02/04/2011;45;Everton;66;Aston Villa;2;2;D;1.83;3.6;4.33;1.88;1.9;39;
02/04/2011;34;Newcastle;39;Wolves;4;1;H;1.95;3.4;4;1.89;1.89;39;
02/04/2011;75;Stoke;49;Chelsea;1;1;D;5.5;3.6;1.67;1.94;1.84;39;
02/04/2011;60;West Brom;40;Liverpool;2;1;H;3;3.3;2.38;2.06;1.73;39;
02/04/2011;48;West Ham;33;Man United;2;4;A;4.5;3.6;1.8;1.81;1.97;39;
02/04/2011;61;Wigan;47;Tottenham;0;0;D;3;3.25;2.4;1.97;1.81;39;
03/04/2011;36;Fulham;1356;Blackpool;3;0;H;1.53;4.2;6;1.56;2.32;39;
03/04/2011;50;Man City;746;Sunderland;5;0;H;1.5;4;7;1.89;1.88;39;
09/04/2011;67;Blackburn;54;Birmingham;1;1;D;2;3.3;4;2.09;1.71;39;
09/04/2011;68;Bolton;48;West Ham;3;0;H;2.2;3.25;3.4;1.87;1.91;39;
09/04/2011;49;Chelsea;61;Wigan;1;0;H;1.2;6;17;1.53;2.42;39;
09/04/2011;33;Man United;36;Fulham;2;0;H;1.44;4.33;7.5;1.74;2.05;39;
09/04/2011;746;Sunderland;60;West Brom;2;3;A;2.2;3.2;3.5;1.99;1.8;39;
09/04/2011;47;Tottenham;75;Stoke;3;2;H;1.73;3.6;5;2;1.79;39;
09/04/2011;39;Wolves;45;Everton;0;3;A;2.6;3.25;2.8;2.01;1.77;39;
10/04/2011;66;Aston Villa;34;Newcastle;1;0;H;1.83;3.6;4.33;1.88;1.9;39;
10/04/2011;1356;Blackpool;42;Arsenal;1;3;A;8.5;5;1.36;1.42;2.71;39;
11/04/2011;40;Liverpool;50;Man City;3;0;H;2.6;3.2;2.8;2.11;1.7;39;
16/04/2011;54;Birmingham;746;Sunderland;2;0;H;2.25;3.2;3.4;2.15;1.67;39;
16/04/2011;1356;Blackpool;61;Wigan;1;3;A;2.3;3.5;3;1.6;2.24;39;
16/04/2011;45;Everton;67;Blackburn;2;0;H;1.67;3.75;5.5;1.8;1.99;39;
16/04/2011;60;West Brom;49;Chelsea;1;3;A;5.5;3.6;1.7;1.77;2.02;39;
16/04/2011;48;West Ham;66;Aston Villa;1;2;A;2.25;3.3;3.25;1.74;2.05;39;
17/04/2011;42;Arsenal;40;Liverpool;1;1;D;1.73;3.6;5;1.86;1.93;39;
19/04/2011;34;Newcastle;33;Man United;0;0;D;5.5;3.6;1.67;1.85;1.94;39;
20/04/2011;49;Chelsea;54;Birmingham;3;1;H;1.2;6.5;15;1.55;2.35;39;
20/04/2011;47;Tottenham;42;Arsenal;3;3;D;2.88;3.4;2.4;1.74;2.07;39;
23/04/2011;66;Aston Villa;75;Stoke;1;1;D;1.8;3.6;4.5;1.92;1.86;39;
23/04/2011;1356;Blackpool;34;Newcastle;1;1;D;2.88;3.5;2.38;1.64;2.17;39;
23/04/2011;49;Chelsea;48;West Ham;3;0;H;1.2;6.5;15;1.48;2.54;39;
23/04/2011;40;Liverpool;54;Birmingham;5;0;H;1.44;4.33;7.5;1.8;1.98;39;
23/04/2011;33;Man United;45;Everton;1;0;H;1.44;4.33;7.5;1.77;2.01;39;
23/04/2011;746;Sunderland;61;Wigan;4;2;H;2.1;3.25;3.75;2.06;1.74;39;
23/04/2011;47;Tottenham;60;West Brom;2;2;D;1.57;4;6;1.69;2.11;39;
23/04/2011;39;Wolves;36;Fulham;1;1;D;2.5;3.25;2.88;2.1;1.7;39;
24/04/2011;68;Bolton;42;Arsenal;2;1;H;4.5;3.8;1.75;1.65;2.17;39;
25/04/2011;67;Blackburn;50;Man City;0;1;A;3.6;3.3;2.1;2.01;1.77;39;
26/04/2011;75;Stoke;39;Wolves;3;0;H;1.8;3.4;5;2.06;1.74;39;
27/04/2011;36;Fulham;68;Bolton;3;0;H;1.8;3.5;4.75;2.03;1.77;39;
30/04/2011;67;Blackburn;68;Bolton;1;0;H;1.91;3.5;4;1.94;1.85;39;
30/04/2011;1356;Blackpool;75;Stoke;0;0;D;2.63;3.4;2.63;1.72;2.08;39;
30/04/2011;49;Chelsea;47;Tottenham;2;1;H;1.44;4.33;7.5;1.68;2.14;39;
30/04/2011;746;Sunderland;36;Fulham;0;3;A;2.6;3.2;2.8;2.23;1.6;39;
30/04/2011;60;West Brom;66;Aston Villa;2;1;H;2.38;3.3;3;1.82;1.97;39;
30/04/2011;61;Wigan;45;Everton;1;1;D;2.8;3.25;2.6;2.08;1.71;39;
01/05/2011;42;Arsenal;33;Man United;1;0;H;2.5;3.25;2.88;1.97;1.82;39;
01/05/2011;54;Birmingham;39;Wolves;1;1;D;2.1;3.3;3.6;2.09;1.71;39;
01/05/2011;40;Liverpool;34;Newcastle;3;0;H;1.44;4.33;7.5;1.73;2.06;39;
01/05/2011;50;Man City;48;West Ham;2;1;H;1.4;4.5;9;1.68;2.12;39;
07/05/2011;66;Aston Villa;61;Wigan;1;1;D;1.8;3.6;4.5;1.82;1.97;39;
07/05/2011;68;Bolton;746;Sunderland;1;2;A;1.83;3.5;4.5;1.9;1.89;39;
07/05/2011;45;Everton;50;Man City;2;1;H;2.7;3.2;2.7;2.05;1.75;39;
07/05/2011;34;Newcastle;54;Birmingham;2;1;H;1.91;3.4;4.2;1.96;1.83;39;
07/05/2011;47;Tottenham;1356;Blackpool;1;1;D;1.3;5.5;10;1.39;2.84;39;
07/05/2011;48;West Ham;67;Blackburn;1;1;D;1.95;3.6;3.8;1.78;2.01;39;
08/05/2011;33;Man United;49;Chelsea;2;1;H;2.38;3.25;3.1;2.09;1.71;39;
08/05/2011;75;Stoke;42;Arsenal;3;1;H;5.5;3.75;1.67;1.82;1.97;39;
08/05/2011;39;Wolves;60;West Brom;3;1;H;2.1;3.4;3.5;1.81;1.98;39;
09/05/2011;36;Fulham;40;Liverpool;2;5;A;2.88;3.25;2.5;2.11;1.7;39;
10/05/2011;50;Man City;47;Tottenham;1;0;H;1.91;3.4;4.2;1.91;1.88;39;
14/05/2011;67;Blackburn;33;Man United;1;1;D;5;3.6;1.73;1.85;1.93;39;
14/05/2011;1356;Blackpool;68;Bolton;4;3;H;2.2;3.4;3.25;1.6;2.23;39;
14/05/2011;746;Sunderland;39;Wolves;1;3;A;2.5;3.25;2.88;2.06;1.74;39;
14/05/2011;60;West Brom;45;Everton;1;0;H;2.63;3.25;2.75;1.83;1.95;39;
15/05/2011;42;Arsenal;66;Aston Villa;1;2;A;1.36;5;8.5;1.57;2.28;39;
15/05/2011;54;Birmingham;36;Fulham;0;2;A;2.2;3.25;3.4;2.21;1.63;39;
15/05/2011;49;Chelsea;34;Newcastle;2;2;D;1.25;6;11;1.46;2.59;39;
15/05/2011;40;Liverpool;47;Tottenham;0;2;A;1.73;3.8;4.75;1.8;1.98;39;
15/05/2011;61;Wigan;48;West Ham;3;2;H;2.1;3.4;3.5;1.8;1.99;39;
17/05/2011;50;Man City;75;Stoke;3;0;H;1.36;4.75;9;1.9;1.89;39;
22/05/2011;66;Aston Villa;40;Liverpool;1;0;H;3.2;3.4;2.25;1.85;1.93;39;
22/05/2011;68;Bolton;50;Man City;0;2;A;5;3.75;1.7;1.7;2.09;39;
22/05/2011;45;Everton;49;Chelsea;1;0;H;3.1;3.25;2.38;1.78;2;39;
22/05/2011;36;Fulham;42;Arsenal;2;2;D;3.75;3.6;1.95;1.78;2;39;
22/05/2011;33;Man United;1356;Blackpool;4;2;H;1.6;4;5.5;1.53;2.39;39;
22/05/2011;34;Newcastle;60;West Brom;3;3;D;2;3.5;3.75;1.67;2.13;39;
22/05/2011;75;Stoke;61;Wigan;0;1;A;2.75;3.6;2.4;1.9;1.88;39;
22/05/2011;47;Tottenham;54;Birmingham;2;1;H;1.53;4;6.5;1.61;2.23;39;
22/05/2011;48;West Ham;746;Sunderland;0;3;A;2;3.5;3.75;1.67;2.14;39;
22/05/2011;39;Wolves;67;Blackburn;2;3;A;2.2;3;3.75;1.79;2;39;
